ENSG	HUGO	GAF	GENCODE
ENSG00000016082	ISL1	ISL1|3670	ENSG00000016082.14
ENSG00000016391	CHDH	CHDH|55349	ENSG00000016391.10
ENSG00000016402	IL20RA	IL20RA|53832	ENSG00000016402.12
ENSG00000016490	CLCA1	CLCA1|1179	ENSG00000016490.15
ENSG00000016602	CLCA4	CLCA4|22802	ENSG00000016602.9
ENSG00000016864	GLT8D1	GLT8D1|55830	ENSG00000016864.16
ENSG00000017260	ATP2C1	ATP2C1|27032	ENSG00000017260.19
ENSG00000017373	SRCIN1	SRCIN1|80725	ENSG00000277363.4
ENSG00000017427	IGF1	IGF1|3479	ENSG00000017427.15
ENSG00000017483	SLC38A5	SLC38A5|92745	ENSG00000017483.14
ENSG00000017621	MAGIX	MAGIX|79917	ENSG00000269313.5
ENSG00000017797	RALBP1	RALBP1|10928	ENSG00000017797.11
ENSG00000018189	RUFY3	RUFY3|22902	ENSG00000018189.12
ENSG00000018236	CNTN1	CNTN1|1272	ENSG00000018236.14
ENSG00000018280	SLC11A1	SLC11A1|6556	ENSG00000018280.16
ENSG00000018408	WWTR1	none	ENSG00000018408.14
ENSG00000018510	AGPS	AGPS|8540	ENSG00000018510.12
ENSG00000018607	ZNF806	none	ENSG00000018607.6
ENSG00000018610	CXorf56	CXorf56|63932	ENSG00000018610.13
ENSG00000018625	ATP1A2	ATP1A2|477	ENSG00000018625.14
ENSG00000018699	TTC27	TTC27|55622	ENSG00000018699.11
ENSG00000018869	ZNF582	ZNF582|147948	ENSG00000018869.16
ENSG00000019102	VSIG2	VSIG2|23584	ENSG00000019102.11
ENSG00000019144	PHLDB1	PHLDB1|23187	ENSG00000019144.16
ENSG00000019169	MARCO	MARCO|8685	ENSG00000019169.10
ENSG00000019186	CYP24A1	CYP24A1|1591	ENSG00000019186.9
ENSG00000019485	PRDM11	PRDM11|56981	ENSG00000019485.12
ENSG00000019505	SYT13	SYT13|57586	ENSG00000019505.7
ENSG00000019549	SNAI2	SNAI2|6591	ENSG00000019549.8
ENSG00000019582	CD74	CD74|972	ENSG00000019582.14
ENSG00000019991	HGF	HGF|3082	ENSG00000019991.15
ENSG00000019995	ZRANB1	ZRANB1|54764	ENSG00000019995.6
ENSG00000020129	NCDN	NCDN|23154	ENSG00000020129.15
ENSG00000020181	ADGRA2	GPR124|25960	ENSG00000020181.17
ENSG00000020219	CCT8L1P	none	ENSG00000020219.9
ENSG00000020256	ZFP64	ZFP64|55734	ENSG00000020256.19
ENSG00000020426	MNAT1	MNAT1|4331	ENSG00000020426.10
ENSG00000020577	SAMD4A	SAMD4A|23034	ENSG00000020577.13
ENSG00000020633	RUNX3	RUNX3|864	ENSG00000020633.18
ENSG00000020922	MRE11	MRE11A|4361	ENSG00000020922.12
ENSG00000021300	PLEKHB1	PLEKHB1|58473	ENSG00000021300.13
ENSG00000021355	SERPINB1	SERPINB1|1992	ENSG00000021355.12
ENSG00000021461	CYP3A43	CYP3A43|64816	ENSG00000021461.16
ENSG00000021488	SLC7A9	SLC7A9|11136	ENSG00000021488.12
ENSG00000021574	SPAST	SPAST|6683	ENSG00000021574.11
ENSG00000021645	NRXN3	NRXN3|9369	ENSG00000021645.17
ENSG00000021762	OSBPL5	OSBPL5|114879	ENSG00000021762.19
ENSG00000021776	AQR	AQR|9716	ENSG00000021776.10
ENSG00000021826	CPS1	CPS1|1373	ENSG00000021826.14
ENSG00000021852	C8B	C8B|732	ENSG00000021852.12
ENSG00000022267	FHL1	FHL1|2273	ENSG00000022267.16
ENSG00000022277	RTFDC1	C20orf43|51507	ENSG00000022277.12
ENSG00000022355	GABRA1	GABRA1|2554	ENSG00000022355.14
ENSG00000022556	NLRP2	NLRP2|55655	ENSG00000022556.15
ENSG00000022567	SLC45A4	SLC45A4|57210	ENSG00000022567.9
ENSG00000022840	RNF10	RNF10|9921	ENSG00000022840.15
ENSG00000022976	ZNF839	ZNF839|55778	ENSG00000022976.15
ENSG00000023041	ZDHHC6	ZDHHC6|64429	ENSG00000023041.11
ENSG00000023171	GRAMD1B	GRAMD1B|57476	ENSG00000023171.14
ENSG00000023191	RNH1	RNH1|6050	ENSG00000023191.16
ENSG00000023228	NDUFS1	NDUFS1|4719	ENSG00000023228.13
ENSG00000023287	RB1CC1	RB1CC1|9821	ENSG00000023287.12
ENSG00000023318	ERP44	ERP44|23071	ENSG00000023318.7
ENSG00000023330	ALAS1	ALAS1|211	ENSG00000023330.14
ENSG00000023445	BIRC3	BIRC3|330	ENSG00000023445.13
ENSG00000023516	AKAP11	AKAP11|11215	ENSG00000023516.8
ENSG00000023572	GLRX2	GLRX2|51022	ENSG00000023572.8
ENSG00000023608	SNAPC1	SNAPC1|6617	ENSG00000023608.4
ENSG00000023697	DERA	DERA|51071	ENSG00000023697.12
ENSG00000023734	STRAP	STRAP|11171	ENSG00000023734.10
ENSG00000023839	ABCC2	ABCC2|1244	ENSG00000023839.10
ENSG00000023892	DEF6	DEF6|50619	ENSG00000023892.10
ENSG00000023902	PLEKHO1	PLEKHO1|51177	ENSG00000023902.13
ENSG00000023909	GCLM	GCLM|2730	ENSG00000023909.9
ENSG00000024048	UBR2	UBR2|23304	ENSG00000024048.10
ENSG00000024422	EHD2	EHD2|30846	ENSG00000024422.11
ENSG00000024526	DEPDC1	DEPDC1|55635	ENSG00000024526.16
ENSG00000024862	CCDC28A	CCDC28A|25901	ENSG00000024862.16
ENSG00000025039	RRAGD	RRAGD|58528	ENSG00000025039.14
ENSG00000025156	HSF2	HSF2|3298	ENSG00000025156.12
ENSG00000025293	PHF20	PHF20|51230	ENSG00000025293.15
ENSG00000025423	HSD17B6	HSD17B6|8630	ENSG00000025423.11
ENSG00000025434	NR1H3	NR1H3|10062	ENSG00000025434.18
ENSG00000025708	TYMP	TYMP|1890	ENSG00000025708.12
ENSG00000025770	NCAPH2	NCAPH2|29781	ENSG00000025770.18
ENSG00000025772	TOMM34	TOMM34|10953	ENSG00000025772.7
ENSG00000025796	SEC63	SEC63|11231	ENSG00000025796.13
ENSG00000025800	KPNA6	KPNA6|23633	ENSG00000025800.13
ENSG00000026025	VIM	VIM|7431	ENSG00000026025.13
ENSG00000026036	RTEL1-TNFRSF6B	RTEL1|51750	ENSG00000026036.20
ENSG00000026103	FAS	FAS|355	ENSG00000026103.19
ENSG00000026297	RNASET2	RNASET2|8635	ENSG00000026297.15
ENSG00000026508	CD44	CD44|960	ENSG00000026508.16
ENSG00000026559	KCNG1	KCNG1|3755	ENSG00000026559.13
ENSG00000026652	AGPAT4	AGPAT4|56895	ENSG00000026652.13
ENSG00000026751	SLAMF7	SLAMF7|57823	ENSG00000026751.16
ENSG00000026950	BTN3A1	BTN3A1|11119	ENSG00000026950.16
ENSG00000027001	MIPEP	MIPEP|4285	ENSG00000027001.9
ENSG00000027075	PRKCH	PRKCH|5583	ENSG00000027075.13
ENSG00000027644	INSRR	INSRR|3645	ENSG00000027644.4
ENSG00000027697	IFNGR1	IFNGR1|3459	ENSG00000027697.12
ENSG00000027847	B4GALT7	B4GALT7|11285	ENSG00000027847.13
ENSG00000027869	SH2D2A	SH2D2A|9047	ENSG00000027869.11
ENSG00000028116	VRK2	VRK2|7444	ENSG00000028116.16
ENSG00000028137	TNFRSF1B	TNFRSF1B|7133	ENSG00000028137.16
ENSG00000028203	VEZT	VEZT|55591	ENSG00000028203.17
ENSG00000028277	POU2F2	POU2F2|5452	ENSG00000028277.20
ENSG00000028310	BRD9	BRD9|65980	ENSG00000028310.17
ENSG00000028528	SNX1	SNX1|6642	ENSG00000028528.14
ENSG00000028839	TBPL1	TBPL1|9519	ENSG00000028839.9
ENSG00000029153	ARNTL2	ARNTL2|56938	ENSG00000029153.14
ENSG00000029363	BCLAF1	BCLAF1|9774	ENSG00000029363.15
ENSG00000029364	SLC39A9	SLC39A9|55334	ENSG00000029364.11
ENSG00000029534	ANK1	ANK1|286	ENSG00000029534.19
ENSG00000029559	IBSP	IBSP|3381	ENSG00000029559.6
ENSG00000029639	TFB1M	TFB1M|51106	ENSG00000029639.10
ENSG00000029725	RABEP1	RABEP1|9135	ENSG00000029725.16
ENSG00000029993	HMGB3	HMGB3|3149	ENSG00000029993.14
ENSG00000030066	NUP160	NUP160|23279	ENSG00000030066.13
ENSG00000030110	BAK1	BAK1|578	ENSG00000030110.12
ENSG00000030304	MUSK	MUSK|4593	ENSG00000030304.12
ENSG00000030419	IKZF2	IKZF2|22807	ENSG00000030419.16
